id,content,timestamp,username,userdisplayname,userlocation,retweetCount,likeCount,language,cleaned_content,sentiment_scores,compound_score,sentiment
1658111741673218048,"10 lessons to learn from Hilda Baci 

A Thread 👇👇👇

 #Hilda https://t.co/AUl36GvIiX",2023-05-15 14:07:00+00:00,Adaeze_uc,Juliet Adaeze UC,"Abuja, Nigeria",0,7,en,10 lessons to learn from Hilda Baci A Thread,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1658111541953064965,"Dealers on Mercedes Truck Engines. All 814🔥Location Lagos Nigeria: Contact::08140286605

Mr President || #100hrs #100hrs || INEC || International Passport || Charles Okocha || Seun Kuti || 25% in FCT || Tinubu || Enioluwa || Abuja || Yoruba Ronu || #guinessworldrecord  #Hilda https://t.co/sRZC45GKmV",2023-05-15 14:06:12+00:00,Obichrisumeh,Obi Christian Umeh 🦅,Més Que Un Club💙❤️,0,0,ca,Dealers on Mercedes Truck Engines All 814Location Lagos Nigeria Contact08140286605 Mr President INEC International Passport Charles Okocha Seun Kuti 25 in FCT Tinubu Enioluwa Abuja Yoruba Ronu,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1658111540275343363,"Congratulations Hilda Baci🥳💐

—
Hilda #Hilda #100hrs #5thDimensionAlbum Late Tondon Nigeria #guinessworldrecord #guinessbookofrecords #gogirl #GoHilda #GoHildaGo Davido Wizkid Barca Tiwa Savage #IntoTheFuture https://t.co/gjH0xPJIL9",2023-05-15 14:06:12+00:00,ricchrocks,RICCH ROCKS,Ghana,0,1,in,Congratulations Hilda Baci Hilda Late Tondon Nigeria Davido Wizkid Barca Tiwa Savage,"{'neg': 0.178, 'neu': 0.592, 'pos': 0.231, 'compound': 0.2263}",0.2263,Positive
1658111510776803331,Person say next week Sunday sermon. Them fit title am. “How #Hilda are you?” 😞😂🤦🏽‍♂️,2023-05-15 14:06:05+00:00,philipdaily_,YT: Philip DAILY*,,0,0,en,Person say next week Sunday sermon Them fit title am How are you,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.3612}",0.3612,Positive
1658111452287324166,Happening in Berlin #GSS2023 AFRICA; considered the youngest continent with 70% of its population below age 30 the untapped potentials are still left with much to be desired #Hilda #Guinessbookofrecord,2023-05-15 14:05:51+00:00,odogwu_cyber,ODC (ODCyber) 🦍,"Lagos, Nigeria.",0,0,en,Happening in Berlin AFRICA considered the youngest continent with 70 of its population below age 30 the untapped potentials are still left with much to be desired,"{'neg': 0.0, 'neu': 0.925, 'pos': 0.075, 'compound': 0.2732}",0.2732,Positive
1658111376437420033,"Your kids too can code
Visit https://t.co/45IZUXY1KM or call 07015016330, 08137197307

Follow @rubiestech 

#Hilda #100hrs #Hildabacicookathon",2023-05-15 14:05:33+00:00,rubiestech,Rubies Technologies,Lagos,1,1,en,Your kids too can code Visit or call 07015016330 08137197307 Follow rubiestech,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1658111354622947330,"Brand 🆕
Apple Airpod Max

•••••
Order, Pay, We-Ship🚀
☎️/ whatsapp⤵️
https://t.co/enXW9Yowm9
•••••
🇳🇬 delivery🚚🏍️
-
#vikesoft #Guinessbookofrecord #Hilda #Succession
Portable | Guinness World | Congratulations Queen | Seun Kuti | Apple | Murphy Afolabi | https://t.co/Pw0B06a9ZQ",2023-05-15 14:05:27+00:00,vikesoft,VIKESOFT TECHNOLOGIES® | ,Lagos,0,1,en,Brand Apple Airpod Max Order Pay WeShip whatsapp delivery Portable Guinness World Congratulations Queen Seun Kuti Apple Murphy Afolabi,"{'neg': 0.063, 'neu': 0.762, 'pos': 0.175, 'compound': 0.5423}",0.5423,Positive
1658111298381422594,"The way people are helping Hilda, is that the same way that Indian woman was helped? Or she did everything by herself alone? #Hilda",2023-05-15 14:05:14+00:00,HadassahOyegun,Daralee,In my father’s house ,0,0,en,The way people are helping Hilda is that the same way that Indian woman was helped Or she did everything by herself alone,"{'neg': 0.079, 'neu': 0.833, 'pos': 0.087, 'compound': 0.0516}",0.0516,Positive
1658111250688098312,"""🌟 Breaking records &amp; slaying the biz game – that's how we roll! Just like chef Hilda Baci, we're cooking up HR, auditing, accounting, employer of records &amp; training services that'll leave you drooling with success! Let's spice up your biz journey! 🚀🔥 #100hrs #hildabaci #Hilda https://t.co/aRL7INYRqk",2023-05-15 14:05:03+00:00,PoweredupCon,PoweredUp Consulting,Nigeria,1,4,en,Breaking records amp slaying the biz game thats how we roll Just like chef Hilda Baci were cooking up HR auditing accounting employer of records amp training services thatll leave you drooling with success Lets spice up your biz journey,"{'neg': 0.027, 'neu': 0.833, 'pos': 0.14, 'compound': 0.7184}",0.7184,Positive
1658111217959927812,"Hilda broke the record and she is currently setting another one. Go #Hildabacicookathon 
#100hrs
#Hilda",2023-05-15 14:04:55+00:00,LibrarianSewa,Ayansewa Adedeji,,0,1,en,Hilda broke the record and she is currently setting another one Go,"{'neg': 0.203, 'neu': 0.797, 'pos': 0.0, 'compound': -0.4215}",-0.4215,Negative
